,BG,HU,MD,RS,UA,sum
2023-01-01 00:00:00+00:00,943.0,0.0,161.0,449.0,0.0,1553.0
2023-01-01 00:15:00+00:00,,0.0,,,,0.0
2023-01-01 00:30:00+00:00,,0.0,,,,0.0
2023-01-01 00:45:00+00:00,,0.0,,,,0.0
2023-01-01 01:00:00+00:00,1035.0,0.0,94.0,440.0,0.0,1569.0
2023-01-01 01:15:00+00:00,,0.0,,,,0.0
2023-01-01 01:30:00+00:00,,0.0,,,,0.0
2023-01-01 01:45:00+00:00,,0.0,,,,0.0
2023-01-01 02:00:00+00:00,803.0,0.0,108.0,402.0,0.0,1313.0
2023-01-01 02:15:00+00:00,,0.0,,,,0.0
2023-01-01 02:30:00+00:00,,0.0,,,,0.0
2023-01-01 02:45:00+00:00,,0.0,,,,0.0
2023-01-01 03:00:00+00:00,712.0,0.0,96.0,348.0,0.0,1156.0
2023-01-01 03:15:00+00:00,,0.0,,,,0.0
2023-01-01 03:30:00+00:00,,0.0,,,,0.0
2023-01-01 03:45:00+00:00,,0.0,,,,0.0
2023-01-01 04:00:00+00:00,708.0,0.0,163.0,299.0,0.0,1170.0
2023-01-01 04:15:00+00:00,,0.0,,,,0.0
2023-01-01 04:30:00+00:00,,0.0,,,,0.0
2023-01-01 04:45:00+00:00,,0.0,,,,0.0
2023-01-01 05:00:00+00:00,768.0,0.0,151.0,325.0,0.0,1244.0
2023-01-01 05:15:00+00:00,,0.0,,,,0.0
2023-01-01 05:30:00+00:00,,0.0,,,,0.0
2023-01-01 05:45:00+00:00,,0.0,,,,0.0
2023-01-01 06:00:00+00:00,677.0,0.0,245.0,277.0,0.0,1199.0
2023-01-01 06:15:00+00:00,,0.0,,,,0.0
2023-01-01 06:30:00+00:00,,0.0,,,,0.0
2023-01-01 06:45:00+00:00,,0.0,,,,0.0
2023-01-01 07:00:00+00:00,670.0,0.0,292.0,325.0,0.0,1287.0
2023-01-01 07:15:00+00:00,,0.0,,,,0.0
2023-01-01 07:30:00+00:00,,0.0,,,,0.0
2023-01-01 07:45:00+00:00,,0.0,,,,0.0
2023-01-01 08:00:00+00:00,689.0,0.0,311.0,319.0,0.0,1319.0
2023-01-01 08:15:00+00:00,,0.0,,,,0.0
2023-01-01 08:30:00+00:00,,0.0,,,,0.0
2023-01-01 08:45:00+00:00,,0.0,,,,0.0
2023-01-01 09:00:00+00:00,616.0,0.0,289.0,331.0,0.0,1236.0
2023-01-01 09:15:00+00:00,,0.0,,,,0.0
2023-01-01 09:30:00+00:00,,0.0,,,,0.0
2023-01-01 09:45:00+00:00,,0.0,,,,0.0
2023-01-01 10:00:00+00:00,502.0,1.0,325.0,441.0,0.0,1269.0
2023-01-01 10:15:00+00:00,,0.0,,,,0.0
2023-01-01 10:30:00+00:00,,0.0,,,,0.0
2023-01-01 10:45:00+00:00,,0.0,,,,0.0
2023-01-01 11:00:00+00:00,444.0,0.0,292.0,450.0,0.0,1186.0
2023-01-01 11:15:00+00:00,,0.0,,,,0.0
2023-01-01 11:30:00+00:00,,0.0,,,,0.0
2023-01-01 11:45:00+00:00,,0.0,,,,0.0
2023-01-01 12:00:00+00:00,404.0,0.0,288.0,381.0,0.0,1073.0
2023-01-01 12:15:00+00:00,,0.0,,,,0.0
2023-01-01 12:30:00+00:00,,0.0,,,,0.0
2023-01-01 12:45:00+00:00,,0.0,,,,0.0
2023-01-01 13:00:00+00:00,572.0,0.0,228.0,325.0,0.0,1125.0
2023-01-01 13:15:00+00:00,,0.0,,,,0.0
2023-01-01 13:30:00+00:00,,0.0,,,,0.0
2023-01-01 13:45:00+00:00,,0.0,,,,0.0
2023-01-01 14:00:00+00:00,716.0,0.0,256.0,340.0,0.0,1312.0
2023-01-01 14:15:00+00:00,,0.0,,,,0.0
2023-01-01 14:30:00+00:00,,0.0,,,,0.0
2023-01-01 14:45:00+00:00,,0.0,,,,0.0
2023-01-01 15:00:00+00:00,816.0,0.0,99.0,325.0,0.0,1240.0
2023-01-01 15:15:00+00:00,,0.0,,,,0.0
2023-01-01 15:30:00+00:00,,0.0,,,,0.0
2023-01-01 15:45:00+00:00,,0.0,,,,0.0
2023-01-01 16:00:00+00:00,990.0,0.0,87.0,357.0,0.0,1434.0
2023-01-01 16:15:00+00:00,,0.0,,,,0.0
2023-01-01 16:30:00+00:00,,0.0,,,,0.0
2023-01-01 16:45:00+00:00,,0.0,,,,0.0
2023-01-01 17:00:00+00:00,907.0,0.0,92.0,391.0,0.0,1390.0
2023-01-01 17:15:00+00:00,,0.0,,,,0.0
2023-01-01 17:30:00+00:00,,0.0,,,,0.0
2023-01-01 17:45:00+00:00,,0.0,,,,0.0
2023-01-01 18:00:00+00:00,1070.0,0.0,12.0,387.0,0.0,1469.0
2023-01-01 18:15:00+00:00,,0.0,,,,0.0
2023-01-01 18:30:00+00:00,,0.0,,,,0.0
2023-01-01 18:45:00+00:00,,0.0,,,,0.0
2023-01-01 19:00:00+00:00,1063.0,0.0,65.0,433.0,0.0,1561.0
2023-01-01 19:15:00+00:00,,0.0,,,,0.0
2023-01-01 19:30:00+00:00,,0.0,,,,0.0
2023-01-01 19:45:00+00:00,,0.0,,,,0.0
2023-01-01 20:00:00+00:00,996.0,0.0,112.0,465.0,0.0,1573.0
2023-01-01 20:15:00+00:00,,0.0,,,,0.0
2023-01-01 20:30:00+00:00,,0.0,,,,0.0
2023-01-01 20:45:00+00:00,,0.0,,,,0.0
2023-01-01 21:00:00+00:00,915.0,0.0,82.0,461.0,0.0,1458.0
2023-01-01 21:15:00+00:00,,0.0,,,,0.0
2023-01-01 21:30:00+00:00,,0.0,,,,0.0
2023-01-01 21:45:00+00:00,,0.0,,,,0.0
2023-01-01 22:00:00+00:00,874.0,0.0,0.0,445.0,0.0,1319.0
2023-01-01 22:15:00+00:00,,0.0,,,,0.0
2023-01-01 22:30:00+00:00,,0.0,,,,0.0
2023-01-01 22:45:00+00:00,,0.0,,,,0.0
2023-01-01 23:00:00+00:00,916.0,0.0,65.0,529.0,0.0,1510.0
2023-01-01 23:15:00+00:00,,0.0,,,,0.0
2023-01-01 23:30:00+00:00,,0.0,,,,0.0
2023-01-01 23:45:00+00:00,,0.0,,,,0.0
2023-01-02 00:00:00+00:00,932.0,0.0,107.0,567.0,0.0,1606.0
2023-01-02 00:15:00+00:00,,0.0,,,,0.0
2023-01-02 00:30:00+00:00,,0.0,,,,0.0
2023-01-02 00:45:00+00:00,,0.0,,,,0.0
2023-01-02 01:00:00+00:00,882.0,0.0,118.0,594.0,0.0,1594.0
2023-01-02 01:15:00+00:00,,0.0,,,,0.0
2023-01-02 01:30:00+00:00,,0.0,,,,0.0
2023-01-02 01:45:00+00:00,,0.0,,,,0.0
2023-01-02 02:00:00+00:00,825.0,0.0,172.0,584.0,0.0,1581.0
2023-01-02 02:15:00+00:00,,0.0,,,,0.0
2023-01-02 02:30:00+00:00,,0.0,,,,0.0
2023-01-02 02:45:00+00:00,,0.0,,,,0.0
2023-01-02 03:00:00+00:00,700.0,0.0,244.0,569.0,0.0,1513.0
2023-01-02 03:15:00+00:00,,0.0,,,,0.0
2023-01-02 03:30:00+00:00,,0.0,,,,0.0
