,AL,BA,IT,XK,RS,sum
2024-01-01 00:00:00+00:00,247.0,0.0,201.0,173.0,0.0,621.0
2024-01-01 01:00:00+00:00,263.0,0.0,201.0,150.0,0.0,614.0
2024-01-01 02:00:00+00:00,192.0,0.0,201.0,90.0,0.0,483.0
2024-01-01 03:00:00+00:00,164.0,0.0,201.0,48.0,51.0,464.0
2024-01-01 04:00:00+00:00,140.0,0.0,201.0,27.0,62.0,430.0
2024-01-01 05:00:00+00:00,229.0,0.0,201.0,63.0,0.0,493.0
2024-01-01 06:00:00+00:00,283.0,0.0,201.0,68.0,0.0,552.0
2024-01-01 07:00:00+00:00,253.0,0.0,201.0,52.0,7.0,513.0
2024-01-01 08:00:00+00:00,110.0,3.0,181.0,0.0,52.0,346.0
2024-01-01 09:00:00+00:00,164.0,7.0,0.0,36.0,3.0,210.0
2024-01-01 10:00:00+00:00,102.0,11.0,132.0,19.0,0.0,264.0
2024-01-01 11:00:00+00:00,57.0,26.0,202.0,0.0,0.0,285.0
2024-01-01 12:00:00+00:00,92.0,11.0,202.0,38.0,0.0,343.0
2024-01-01 13:00:00+00:00,210.0,1.0,202.0,130.0,0.0,543.0
2024-01-01 14:00:00+00:00,310.0,0.0,214.0,191.0,0.0,715.0
2024-01-01 15:00:00+00:00,233.0,0.0,590.0,174.0,0.0,997.0
2024-01-01 16:00:00+00:00,203.0,0.0,603.0,190.0,0.0,996.0
2024-01-01 17:00:00+00:00,194.0,0.0,603.0,175.0,0.0,972.0
2024-01-01 18:00:00+00:00,178.0,0.0,603.0,162.0,0.0,943.0
2024-01-01 19:00:00+00:00,118.0,0.0,602.0,118.0,0.0,838.0
2024-01-01 20:00:00+00:00,77.0,2.0,602.0,71.0,0.0,752.0
2024-01-01 21:00:00+00:00,114.0,0.0,578.0,92.0,0.0,784.0
2024-01-01 22:00:00+00:00,107.0,0.0,577.0,95.0,0.0,779.0
2024-01-01 23:00:00+00:00,66.0,0.0,578.0,29.0,0.0,673.0
2024-01-02 00:00:00+00:00,59.0,0.0,597.0,2.0,0.0,658.0
2024-01-02 01:00:00+00:00,38.0,0.0,602.0,0.0,17.0,657.0
2024-01-02 02:00:00+00:00,60.0,0.0,583.0,0.0,19.0,662.0
2024-01-02 03:00:00+00:00,128.0,0.0,602.0,4.0,0.0,734.0
2024-01-02 04:00:00+00:00,164.0,0.0,602.0,52.0,0.0,818.0
2024-01-02 05:00:00+00:00,167.0,0.0,598.0,104.0,0.0,869.0
2024-01-02 06:00:00+00:00,242.0,0.0,602.0,185.0,0.0,1029.0
2024-01-02 07:00:00+00:00,246.0,2.0,602.0,226.0,0.0,1076.0
2024-01-02 08:00:00+00:00,131.0,28.0,602.0,222.0,0.0,983.0
2024-01-02 09:00:00+00:00,147.0,38.0,602.0,219.0,0.0,1006.0
2024-01-02 10:00:00+00:00,13.0,88.0,603.0,106.0,0.0,810.0
2024-01-02 11:00:00+00:00,23.0,78.0,603.0,100.0,0.0,804.0
2024-01-02 12:00:00+00:00,63.0,54.0,603.0,108.0,0.0,828.0
2024-01-02 13:00:00+00:00,255.0,2.0,602.0,236.0,0.0,1095.0
2024-01-02 14:00:00+00:00,317.0,0.0,579.0,301.0,0.0,1197.0
2024-01-02 15:00:00+00:00,286.0,0.0,602.0,331.0,0.0,1219.0
2024-01-02 16:00:00+00:00,264.0,0.0,602.0,310.0,0.0,1176.0
2024-01-02 17:00:00+00:00,264.0,0.0,603.0,299.0,0.0,1166.0
2024-01-02 18:00:00+00:00,274.0,0.0,602.0,300.0,0.0,1176.0
2024-01-02 19:00:00+00:00,305.0,0.0,595.0,293.0,0.0,1193.0
2024-01-02 20:00:00+00:00,311.0,0.0,563.0,291.0,0.0,1165.0
2024-01-02 21:00:00+00:00,248.0,0.0,528.0,248.0,0.0,1024.0
2024-01-02 22:00:00+00:00,291.0,0.0,546.0,270.0,0.0,1107.0
2024-01-02 23:00:00+00:00,205.0,0.0,601.0,160.0,0.0,966.0
2024-01-03 00:00:00+00:00,276.0,0.0,270.0,161.0,0.0,707.0
2024-01-03 01:00:00+00:00,313.0,0.0,202.0,167.0,0.0,682.0
2024-01-03 02:00:00+00:00,313.0,0.0,202.0,133.0,0.0,648.0
2024-01-03 03:00:00+00:00,299.0,0.0,202.0,111.0,0.0,612.0
2024-01-03 04:00:00+00:00,348.0,0.0,202.0,169.0,0.0,719.0
2024-01-03 05:00:00+00:00,347.0,0.0,214.0,219.0,0.0,780.0
2024-01-03 06:00:00+00:00,301.0,0.0,590.0,233.0,0.0,1124.0
2024-01-03 07:00:00+00:00,302.0,0.0,602.0,266.0,0.0,1170.0
2024-01-03 08:00:00+00:00,277.0,0.0,602.0,287.0,0.0,1166.0
2024-01-03 09:00:00+00:00,285.0,0.0,546.0,280.0,0.0,1111.0
2024-01-03 10:00:00+00:00,366.0,0.0,202.0,320.0,0.0,888.0
2024-01-03 11:00:00+00:00,366.0,0.0,202.0,320.0,0.0,888.0
2024-01-03 12:00:00+00:00,334.0,0.0,202.0,297.0,0.0,833.0
2024-01-03 13:00:00+00:00,315.0,11.0,202.0,284.0,0.0,812.0
2024-01-03 14:00:00+00:00,220.0,28.0,214.0,262.0,0.0,724.0
2024-01-03 15:00:00+00:00,170.0,11.0,590.0,268.0,0.0,1039.0
2024-01-03 16:00:00+00:00,72.0,42.0,603.0,218.0,0.0,935.0
2024-01-03 17:00:00+00:00,143.0,35.0,603.0,252.0,0.0,1033.0
2024-01-03 18:00:00+00:00,206.0,24.0,603.0,274.0,0.0,1107.0
2024-01-03 19:00:00+00:00,206.0,7.0,602.0,227.0,0.0,1042.0
2024-01-03 20:00:00+00:00,197.0,0.0,582.0,176.0,0.0,955.0
2024-01-03 21:00:00+00:00,126.0,0.0,570.0,120.0,0.0,816.0
2024-01-03 22:00:00+00:00,114.0,0.0,596.0,113.0,0.0,823.0
2024-01-03 23:00:00+00:00,98.0,0.0,577.0,115.0,0.0,790.0
2024-01-04 00:00:00+00:00,100.0,0.0,575.0,76.0,0.0,751.0
2024-01-04 01:00:00+00:00,111.0,0.0,601.0,50.0,0.0,762.0
2024-01-04 02:00:00+00:00,84.0,0.0,603.0,22.0,9.0,718.0
2024-01-04 03:00:00+00:00,67.0,0.0,603.0,19.0,10.0,699.0
2024-01-04 04:00:00+00:00,137.0,0.0,603.0,97.0,0.0,837.0
2024-01-04 05:00:00+00:00,224.0,0.0,603.0,168.0,0.0,995.0
2024-01-04 06:00:00+00:00,244.0,0.0,603.0,219.0,0.0,1066.0
2024-01-04 07:00:00+00:00,44.0,19.0,603.0,128.0,0.0,794.0
2024-01-04 08:00:00+00:00,0.0,84.0,603.0,36.0,0.0,723.0
2024-01-04 09:00:00+00:00,0.0,116.0,603.0,0.0,0.0,719.0
2024-01-04 10:00:00+00:00,0.0,106.0,603.0,0.0,51.0,760.0
2024-01-04 11:00:00+00:00,0.0,81.0,598.0,0.0,37.0,716.0
2024-01-04 12:00:00+00:00,0.0,41.0,597.0,24.0,0.0,662.0
2024-01-04 13:00:00+00:00,52.0,5.0,583.0,171.0,0.0,811.0
2024-01-04 14:00:00+00:00,114.0,0.0,579.0,264.0,0.0,957.0
2024-01-04 15:00:00+00:00,10.0,29.0,562.0,234.0,0.0,835.0
2024-01-04 16:00:00+00:00,1.0,54.0,540.0,204.0,0.0,799.0
2024-01-04 17:00:00+00:00,0.0,85.0,539.0,131.0,0.0,755.0
2024-01-04 18:00:00+00:00,1.0,67.0,539.0,181.0,0.0,788.0
2024-01-04 19:00:00+00:00,26.0,54.0,546.0,197.0,0.0,823.0
2024-01-04 20:00:00+00:00,32.0,56.0,600.0,163.0,0.0,851.0
2024-01-04 21:00:00+00:00,38.0,38.0,575.0,140.0,0.0,791.0
2024-01-04 22:00:00+00:00,36.0,34.0,575.0,138.0,0.0,783.0
2024-01-04 23:00:00+00:00,76.0,10.0,583.0,88.0,0.0,757.0
2024-01-05 00:00:00+00:00,102.0,1.0,501.0,66.0,0.0,670.0
2024-01-05 01:00:00+00:00,229.0,0.0,1.0,126.0,0.0,356.0
2024-01-05 02:00:00+00:00,222.0,0.0,1.0,100.0,0.0,323.0
2024-01-05 03:00:00+00:00,268.0,0.0,1.0,123.0,0.0,392.0
2024-01-05 04:00:00+00:00,290.0,0.0,1.0,170.0,0.0,461.0
2024-01-05 05:00:00+00:00,194.0,0.0,567.0,162.0,0.0,923.0
2024-01-05 06:00:00+00:00,146.0,8.0,602.0,186.0,0.0,942.0
2024-01-05 07:00:00+00:00,6.0,70.0,602.0,85.0,0.0,763.0
2024-01-05 08:00:00+00:00,0.0,106.0,602.0,6.0,0.0,714.0
2024-01-05 09:00:00+00:00,0.0,110.0,602.0,0.0,0.0,712.0
2024-01-05 10:00:00+00:00,0.0,96.0,602.0,0.0,37.0,735.0
2024-01-05 11:00:00+00:00,0.0,50.0,593.0,62.0,0.0,705.0
2024-01-05 12:00:00+00:00,4.0,36.0,593.0,99.0,0.0,732.0
2024-01-05 13:00:00+00:00,67.0,11.0,593.0,207.0,0.0,878.0
2024-01-05 14:00:00+00:00,176.0,0.0,593.0,306.0,0.0,1075.0
2024-01-05 15:00:00+00:00,135.0,0.0,587.0,342.0,0.0,1064.0
2024-01-05 16:00:00+00:00,202.0,0.0,597.0,371.0,0.0,1170.0
2024-01-05 17:00:00+00:00,174.0,0.0,598.0,342.0,0.0,1114.0
2024-01-05 18:00:00+00:00,160.0,0.0,603.0,338.0,0.0,1101.0
2024-01-05 19:00:00+00:00,142.0,0.0,603.0,313.0,0.0,1058.0
2024-01-05 20:00:00+00:00,214.0,0.0,603.0,311.0,0.0,1128.0
2024-01-05 21:00:00+00:00,271.0,0.0,597.0,284.0,0.0,1152.0
2024-01-05 22:00:00+00:00,217.0,0.0,586.0,241.0,0.0,1044.0
2024-01-05 23:00:00+00:00,71.0,0.0,602.0,172.0,0.0,845.0
2024-01-06 00:00:00+00:00,24.0,0.0,603.0,86.0,0.0,713.0
2024-01-06 01:00:00+00:00,1.0,0.0,603.0,23.0,0.0,627.0
2024-01-06 02:00:00+00:00,0.0,0.0,603.0,0.0,114.0,717.0
2024-01-06 03:00:00+00:00,0.0,0.0,603.0,0.0,134.0,737.0
2024-01-06 04:00:00+00:00,0.0,0.0,603.0,0.0,216.0,819.0
2024-01-06 05:00:00+00:00,0.0,11.0,603.0,0.0,315.0,929.0
2024-01-06 06:00:00+00:00,0.0,9.0,603.0,0.0,309.0,921.0
2024-01-06 07:00:00+00:00,0.0,58.0,603.0,0.0,269.0,930.0
2024-01-06 08:00:00+00:00,0.0,112.0,603.0,0.0,275.0,990.0
2024-01-06 09:00:00+00:00,0.0,162.0,603.0,0.0,281.0,1046.0
2024-01-06 10:00:00+00:00,0.0,149.0,603.0,0.0,254.0,1006.0
2024-01-06 11:00:00+00:00,0.0,180.0,603.0,0.0,251.0,1034.0
2024-01-06 12:00:00+00:00,0.0,155.0,603.0,0.0,187.0,945.0
2024-01-06 13:00:00+00:00,0.0,131.0,603.0,0.0,137.0,871.0
2024-01-06 14:00:00+00:00,0.0,105.0,598.0,0.0,130.0,833.0
2024-01-06 15:00:00+00:00,0.0,88.0,593.0,0.0,117.0,798.0
2024-01-06 16:00:00+00:00,0.0,115.0,603.0,0.0,186.0,904.0
2024-01-06 17:00:00+00:00,0.0,100.0,603.0,0.0,240.0,943.0
2024-01-06 18:00:00+00:00,0.0,102.0,603.0,0.0,293.0,998.0
2024-01-06 19:00:00+00:00,0.0,83.0,603.0,0.0,264.0,950.0
2024-01-06 20:00:00+00:00,0.0,64.0,603.0,0.0,147.0,814.0
2024-01-06 21:00:00+00:00,0.0,50.0,603.0,0.0,141.0,794.0
2024-01-06 22:00:00+00:00,0.0,68.0,603.0,0.0,171.0,842.0
2024-01-06 23:00:00+00:00,0.0,30.0,603.0,0.0,192.0,825.0
2024-01-07 00:00:00+00:00,0.0,57.0,603.0,0.0,322.0,982.0
2024-01-07 01:00:00+00:00,0.0,95.0,603.0,0.0,394.0,1092.0
2024-01-07 02:00:00+00:00,0.0,86.0,603.0,0.0,455.0,1144.0
2024-01-07 03:00:00+00:00,0.0,90.0,603.0,0.0,450.0,1143.0
2024-01-07 04:00:00+00:00,0.0,70.0,603.0,0.0,389.0,1062.0
2024-01-07 05:00:00+00:00,0.0,31.0,603.0,0.0,330.0,964.0
2024-01-07 06:00:00+00:00,0.0,32.0,603.0,0.0,288.0,923.0
2024-01-07 07:00:00+00:00,0.0,34.0,603.0,0.0,250.0,887.0
2024-01-07 08:00:00+00:00,0.0,67.0,603.0,0.0,194.0,864.0
2024-01-07 09:00:00+00:00,0.0,78.0,603.0,0.0,120.0,801.0
2024-01-07 10:00:00+00:00,0.0,85.0,603.0,0.0,52.0,740.0
2024-01-07 11:00:00+00:00,0.0,65.0,603.0,0.0,111.0,779.0
2024-01-07 12:00:00+00:00,0.0,52.0,603.0,0.0,104.0,759.0
2024-01-07 13:00:00+00:00,1.0,28.0,603.0,20.0,0.0,652.0
2024-01-07 14:00:00+00:00,0.0,44.0,603.0,0.0,36.0,683.0
2024-01-07 15:00:00+00:00,0.0,78.0,603.0,0.0,68.0,749.0
2024-01-07 16:00:00+00:00,0.0,92.0,603.0,0.0,91.0,786.0
2024-01-07 17:00:00+00:00,0.0,121.0,603.0,0.0,167.0,891.0
2024-01-07 18:00:00+00:00,0.0,90.0,603.0,0.0,51.0,744.0
2024-01-07 19:00:00+00:00,0.0,80.0,603.0,4.0,29.0,716.0
2024-01-07 20:00:00+00:00,0.0,38.0,603.0,11.0,41.0,693.0
2024-01-07 21:00:00+00:00,0.0,40.0,603.0,0.0,86.0,729.0
2024-01-07 22:00:00+00:00,0.0,31.0,603.0,0.0,84.0,718.0
2024-01-07 23:00:00+00:00,0.0,37.0,603.0,0.0,247.0,887.0
2024-01-08 00:00:00+00:00,0.0,1.0,603.0,0.0,313.0,917.0
2024-01-08 01:00:00+00:00,0.0,13.0,603.0,0.0,386.0,1002.0
2024-01-08 02:00:00+00:00,0.0,19.0,603.0,0.0,375.0,997.0
2024-01-08 03:00:00+00:00,0.0,4.0,603.0,0.0,359.0,966.0
2024-01-08 04:00:00+00:00,2.0,0.0,602.0,0.0,277.0,881.0
2024-01-08 05:00:00+00:00,6.0,8.0,589.0,0.0,54.0,657.0
2024-01-08 06:00:00+00:00,0.0,69.0,578.0,0.0,169.0,816.0
2024-01-08 07:00:00+00:00,0.0,65.0,602.0,0.0,201.0,868.0
2024-01-08 08:00:00+00:00,0.0,86.0,602.0,0.0,179.0,867.0
2024-01-08 09:00:00+00:00,0.0,90.0,603.0,0.0,121.0,814.0
2024-01-08 10:00:00+00:00,0.0,75.0,602.0,0.0,91.0,768.0
2024-01-08 11:00:00+00:00,0.0,85.0,603.0,0.0,143.0,831.0
2024-01-08 12:00:00+00:00,0.0,83.0,603.0,0.0,78.0,764.0
2024-01-08 13:00:00+00:00,0.0,65.0,602.0,52.0,0.0,719.0
2024-01-08 14:00:00+00:00,0.0,68.0,603.0,58.0,0.0,729.0
2024-01-08 15:00:00+00:00,0.0,46.0,602.0,150.0,0.0,798.0
2024-01-08 16:00:00+00:00,0.0,40.0,579.0,160.0,0.0,779.0
2024-01-08 17:00:00+00:00,0.0,23.0,579.0,177.0,0.0,779.0
2024-01-08 18:00:00+00:00,0.0,68.0,593.0,76.0,19.0,756.0
2024-01-08 19:00:00+00:00,0.0,78.0,593.0,78.0,0.0,749.0
2024-01-08 20:00:00+00:00,0.0,53.0,569.0,119.0,0.0,741.0
2024-01-08 21:00:00+00:00,76.0,1.0,568.0,194.0,0.0,839.0
2024-01-08 22:00:00+00:00,99.0,9.0,568.0,164.0,0.0,840.0
2024-01-08 23:00:00+00:00,21.0,2.0,534.0,83.0,0.0,640.0
2024-01-09 00:00:00+00:00,10.0,3.0,534.0,5.0,15.0,567.0
2024-01-09 01:00:00+00:00,113.0,0.0,519.0,58.0,0.0,690.0
2024-01-09 02:00:00+00:00,39.0,0.0,519.0,8.0,52.0,618.0
2024-01-09 03:00:00+00:00,22.0,0.0,528.0,0.0,78.0,628.0
2024-01-09 04:00:00+00:00,57.0,0.0,530.0,52.0,18.0,657.0
2024-01-09 05:00:00+00:00,1.0,54.0,396.0,42.0,0.0,493.0
2024-01-09 06:00:00+00:00,0.0,82.0,368.0,67.0,0.0,517.0
2024-01-09 07:00:00+00:00,0.0,97.0,370.0,67.0,0.0,534.0
2024-01-09 08:00:00+00:00,0.0,94.0,456.0,78.0,0.0,628.0
2024-01-09 09:00:00+00:00,0.0,103.0,525.0,64.0,0.0,692.0
2024-01-09 10:00:00+00:00,0.0,78.0,529.0,100.0,0.0,707.0
2024-01-09 11:00:00+00:00,0.0,63.0,576.0,90.0,0.0,729.0
2024-01-09 12:00:00+00:00,0.0,76.0,577.0,62.0,0.0,715.0
2024-01-09 13:00:00+00:00,0.0,71.0,528.0,75.0,0.0,674.0
2024-01-09 14:00:00+00:00,0.0,72.0,488.0,129.0,0.0,689.0
2024-01-09 15:00:00+00:00,0.0,151.0,376.0,146.0,0.0,673.0
2024-01-09 16:00:00+00:00,0.0,179.0,345.0,134.0,13.0,671.0
2024-01-09 17:00:00+00:00,0.0,181.0,430.0,63.0,86.0,760.0
2024-01-09 18:00:00+00:00,0.0,214.0,332.0,90.0,61.0,697.0
2024-01-09 19:00:00+00:00,0.0,137.0,296.0,124.0,3.0,560.0
2024-01-09 20:00:00+00:00,0.0,141.0,504.0,20.0,58.0,723.0
2024-01-09 21:00:00+00:00,0.0,93.0,575.0,30.0,3.0,701.0
2024-01-09 22:00:00+00:00,0.0,81.0,562.0,41.0,0.0,684.0
2024-01-09 23:00:00+00:00,0.0,61.0,572.0,0.0,108.0,741.0
2024-01-10 00:00:00+00:00,0.0,8.0,573.0,0.0,91.0,672.0
2024-01-10 01:00:00+00:00,0.0,5.0,586.0,0.0,210.0,801.0
2024-01-10 02:00:00+00:00,0.0,2.0,587.0,0.0,174.0,763.0
2024-01-10 03:00:00+00:00,0.0,0.0,586.0,0.0,160.0,746.0
2024-01-10 04:00:00+00:00,0.0,0.0,574.0,16.0,120.0,710.0
2024-01-10 05:00:00+00:00,0.0,13.0,467.0,27.0,155.0,662.0
2024-01-10 06:00:00+00:00,0.0,121.0,433.0,24.0,183.0,761.0
2024-01-10 07:00:00+00:00,0.0,108.0,441.0,50.0,161.0,760.0
2024-01-10 08:00:00+00:00,0.0,152.0,573.0,0.0,199.0,924.0
2024-01-10 09:00:00+00:00,0.0,222.0,577.0,0.0,254.0,1053.0
2024-01-10 10:00:00+00:00,0.0,194.0,578.0,0.0,220.0,992.0
2024-01-10 11:00:00+00:00,0.0,189.0,578.0,0.0,202.0,969.0
2024-01-10 12:00:00+00:00,0.0,168.0,578.0,0.0,191.0,937.0
2024-01-10 13:00:00+00:00,0.0,129.0,570.0,54.0,103.0,856.0
2024-01-10 14:00:00+00:00,0.0,88.0,405.0,171.0,16.0,680.0
2024-01-10 15:00:00+00:00,0.0,98.0,270.0,211.0,0.0,579.0
2024-01-10 16:00:00+00:00,0.0,170.0,240.0,165.0,0.0,575.0
2024-01-10 17:00:00+00:00,0.0,146.0,224.0,199.0,0.0,569.0
2024-01-10 18:00:00+00:00,0.0,109.0,253.0,204.0,0.0,566.0
2024-01-10 19:00:00+00:00,0.0,92.0,284.0,211.0,0.0,587.0
2024-01-10 20:00:00+00:00,0.0,85.0,406.0,157.0,0.0,648.0
2024-01-10 21:00:00+00:00,15.0,29.0,428.0,222.0,0.0,694.0
2024-01-10 22:00:00+00:00,6.0,16.0,519.0,204.0,0.0,745.0
2024-01-10 23:00:00+00:00,1.0,34.0,522.0,117.0,0.0,674.0
2024-01-11 00:00:00+00:00,0.0,0.0,523.0,45.0,0.0,568.0
2024-01-11 01:00:00+00:00,0.0,1.0,548.0,0.0,32.0,581.0
2024-01-11 02:00:00+00:00,0.0,0.0,575.0,0.0,14.0,589.0
2024-01-11 03:00:00+00:00,26.0,0.0,564.0,71.0,0.0,661.0
2024-01-11 04:00:00+00:00,34.0,0.0,566.0,103.0,0.0,703.0
2024-01-11 05:00:00+00:00,8.0,0.0,457.0,158.0,0.0,623.0
2024-01-11 06:00:00+00:00,6.0,43.0,252.0,193.0,0.0,494.0
2024-01-11 07:00:00+00:00,0.0,81.0,389.0,147.0,0.0,617.0
2024-01-11 08:00:00+00:00,0.0,110.0,437.0,89.0,0.0,636.0
2024-01-11 09:00:00+00:00,0.0,117.0,474.0,48.0,7.0,646.0
2024-01-11 10:00:00+00:00,0.0,139.0,447.0,3.0,65.0,654.0
2024-01-11 11:00:00+00:00,0.0,139.0,447.0,0.0,85.0,671.0
2024-01-11 12:00:00+00:00,0.0,104.0,444.0,48.0,38.0,634.0
2024-01-11 13:00:00+00:00,0.0,60.0,360.0,168.0,0.0,588.0
2024-01-11 14:00:00+00:00,38.0,37.0,237.0,267.0,0.0,579.0
2024-01-11 15:00:00+00:00,132.0,38.0,1.0,362.0,0.0,533.0
2024-01-11 16:00:00+00:00,196.0,42.0,0.0,416.0,0.0,654.0
2024-01-11 17:00:00+00:00,228.0,10.0,133.0,414.0,0.0,785.0
2024-01-11 18:00:00+00:00,223.0,11.0,128.0,390.0,0.0,752.0
2024-01-11 19:00:00+00:00,192.0,6.0,202.0,382.0,0.0,782.0
2024-01-11 20:00:00+00:00,58.0,6.0,450.0,295.0,0.0,809.0
2024-01-11 21:00:00+00:00,149.0,0.0,498.0,293.0,0.0,940.0
2024-01-11 22:00:00+00:00,166.0,0.0,454.0,297.0,0.0,917.0
2024-01-11 23:00:00+00:00,130.0,0.0,519.0,242.0,0.0,891.0
2024-01-12 00:00:00+00:00,252.0,0.0,522.0,213.0,0.0,987.0
2024-01-12 01:00:00+00:00,252.0,0.0,527.0,170.0,0.0,949.0
2024-01-12 02:00:00+00:00,235.0,0.0,517.0,142.0,0.0,894.0
2024-01-12 03:00:00+00:00,255.0,0.0,516.0,160.0,0.0,931.0
2024-01-12 04:00:00+00:00,294.0,0.0,476.0,216.0,0.0,986.0
2024-01-12 05:00:00+00:00,168.0,0.0,262.0,249.0,0.0,679.0
2024-01-12 06:00:00+00:00,66.0,1.0,235.0,207.0,0.0,509.0
2024-01-12 07:00:00+00:00,4.0,49.0,197.0,148.0,0.0,398.0
2024-01-12 08:00:00+00:00,0.0,128.0,235.0,35.0,138.0,536.0
2024-01-12 09:00:00+00:00,0.0,142.0,196.0,39.0,130.0,507.0
2024-01-12 10:00:00+00:00,0.0,130.0,203.0,54.0,109.0,496.0
2024-01-12 11:00:00+00:00,0.0,123.0,57.0,88.0,75.0,343.0
2024-01-12 12:00:00+00:00,0.0,107.0,68.0,126.0,27.0,328.0
2024-01-12 13:00:00+00:00,0.0,86.0,161.0,186.0,0.0,433.0
2024-01-12 14:00:00+00:00,67.0,34.0,1.0,307.0,0.0,409.0
2024-01-12 15:00:00+00:00,63.0,36.0,1.0,344.0,0.0,444.0
2024-01-12 16:00:00+00:00,59.0,44.0,52.0,356.0,0.0,511.0
2024-01-12 17:00:00+00:00,75.0,38.0,55.0,358.0,0.0,526.0
2024-01-12 18:00:00+00:00,84.0,15.0,185.0,376.0,0.0,660.0
2024-01-12 19:00:00+00:00,50.0,25.0,206.0,336.0,0.0,617.0
2024-01-12 20:00:00+00:00,2.0,11.0,429.0,253.0,0.0,695.0
2024-01-12 21:00:00+00:00,40.0,0.0,505.0,276.0,0.0,821.0
2024-01-12 22:00:00+00:00,71.0,0.0,508.0,269.0,0.0,848.0
2024-01-12 23:00:00+00:00,111.0,0.0,590.0,266.0,0.0,967.0
2024-01-13 00:00:00+00:00,227.0,0.0,593.0,234.0,0.0,1054.0
2024-01-13 01:00:00+00:00,225.0,0.0,602.0,206.0,0.0,1033.0
2024-01-13 02:00:00+00:00,182.0,0.0,602.0,155.0,0.0,939.0
2024-01-13 03:00:00+00:00,216.0,0.0,602.0,161.0,0.0,979.0
2024-01-13 04:00:00+00:00,218.0,0.0,602.0,165.0,0.0,985.0
2024-01-13 05:00:00+00:00,213.0,0.0,602.0,170.0,0.0,985.0
2024-01-13 06:00:00+00:00,161.0,0.0,600.0,195.0,0.0,956.0
2024-01-13 07:00:00+00:00,150.0,0.0,602.0,219.0,0.0,971.0
2024-01-13 08:00:00+00:00,10.0,34.0,602.0,112.0,0.0,758.0
2024-01-13 09:00:00+00:00,2.0,51.0,602.0,102.0,0.0,757.0
2024-01-13 10:00:00+00:00,2.0,30.0,581.0,54.0,0.0,667.0
2024-01-13 11:00:00+00:00,54.0,13.0,578.0,70.0,0.0,715.0
2024-01-13 12:00:00+00:00,177.0,0.0,597.0,154.0,0.0,928.0
2024-01-13 13:00:00+00:00,264.0,0.0,577.0,251.0,0.0,1092.0
2024-01-13 14:00:00+00:00,101.0,0.0,516.0,241.0,0.0,858.0
2024-01-13 15:00:00+00:00,34.0,20.0,478.0,239.0,0.0,771.0
2024-01-13 16:00:00+00:00,76.0,17.0,575.0,224.0,0.0,892.0
2024-01-13 17:00:00+00:00,93.0,17.0,541.0,226.0,0.0,877.0
2024-01-13 18:00:00+00:00,87.0,25.0,542.0,195.0,0.0,849.0
2024-01-13 19:00:00+00:00,112.0,2.0,551.0,228.0,0.0,893.0
2024-01-13 20:00:00+00:00,83.0,1.0,566.0,216.0,0.0,866.0
2024-01-13 21:00:00+00:00,123.0,0.0,536.0,221.0,0.0,880.0
2024-01-13 22:00:00+00:00,167.0,0.0,506.0,221.0,0.0,894.0
2024-01-13 23:00:00+00:00,133.0,0.0,589.0,149.0,0.0,871.0
2024-01-14 00:00:00+00:00,195.0,0.0,592.0,128.0,0.0,915.0
2024-01-14 01:00:00+00:00,185.0,0.0,589.0,100.0,0.0,874.0
2024-01-14 02:00:00+00:00,181.0,0.0,602.0,73.0,0.0,856.0
2024-01-14 03:00:00+00:00,176.0,0.0,602.0,65.0,0.0,843.0
2024-01-14 04:00:00+00:00,148.0,0.0,602.0,54.0,0.0,804.0
2024-01-14 05:00:00+00:00,137.0,0.0,602.0,54.0,0.0,793.0
2024-01-14 06:00:00+00:00,103.0,0.0,602.0,14.0,0.0,719.0
2024-01-14 07:00:00+00:00,29.0,4.0,602.0,0.0,0.0,635.0
2024-01-14 08:00:00+00:00,2.0,75.0,602.0,0.0,0.0,679.0
2024-01-14 09:00:00+00:00,0.0,98.0,602.0,0.0,15.0,715.0
2024-01-14 10:00:00+00:00,0.0,117.0,602.0,0.0,49.0,768.0
2024-01-14 11:00:00+00:00,0.0,106.0,602.0,0.0,38.0,746.0
2024-01-14 12:00:00+00:00,1.0,40.0,602.0,0.0,0.0,643.0
