,BE,DE,UK,NO,DK,sum
2023-01-01 00:00:00+00:00,0.0,1442.25,882.0,0.0,0.0,2324.25
2023-01-01 01:00:00+00:00,0.0,1452.25,896.0,0.0,0.0,2348.25
2023-01-01 02:00:00+00:00,27.0,1289.25,887.75,0.0,0.0,2183.75
2023-01-01 03:00:00+00:00,97.0,1248.0,680.0,0.0,0.0,1952.25
2023-01-01 04:00:00+00:00,0.0,1263.5,806.25,0.0,0.0,2069.75
2023-01-01 05:00:00+00:00,0.0,1229.5,890.75,0.0,0.0,2120.25
2023-01-01 06:00:00+00:00,0.0,1309.75,862.25,0.0,0.0,2172.0
2023-01-01 07:00:00+00:00,0.0,1241.0,822.0,0.0,0.0,2063.0
2023-01-01 08:00:00+00:00,0.0,1059.75,381.25,0.0,0.0,1441.0
2023-01-01 09:00:00+00:00,233.0,784.5,0.0,0.0,259.0,907.5
2023-01-01 10:00:00+00:00,14.0,839.0,0.0,0.0,446.0,954.0
2023-01-01 11:00:00+00:00,143.0,833.75,0.0,0.0,217.0,923.75
2023-01-01 12:00:00+00:00,832.0,1020.75,0.0,0.0,16.0,1232.75
2023-01-01 13:00:00+00:00,854.0,1340.25,0.0,0.0,463.0,1669.5
2023-01-01 14:00:00+00:00,1024.0,1641.25,0.0,0.0,694.0,2070.75
2023-01-01 15:00:00+00:00,1287.0,2257.75,0.0,0.0,700.0,2754.5
2023-01-01 16:00:00+00:00,2056.0,1784.25,0.0,0.0,700.0,2473.25
2023-01-01 17:00:00+00:00,1506.0,1915.75,0.0,0.0,700.0,2467.25
2023-01-01 18:00:00+00:00,2407.0,1779.75,0.0,0.0,700.0,2556.5
2023-01-01 19:00:00+00:00,2646.0,1375.0,0.0,0.0,699.0,2211.25
2023-01-01 20:00:00+00:00,2236.0,1714.25,0.0,0.0,677.0,2442.5
2023-01-01 21:00:00+00:00,2177.0,2023.25,0.0,0.0,649.0,2729.75
2023-01-01 22:00:00+00:00,2562.0,1025.75,0.0,0.0,632.0,1824.25
2023-01-01 23:00:00+00:00,3330.0,634.0,0.0,0.0,25.0,1472.75
