,BE,DE,UK,NO,DK,sum
2022-01-01 00:00:00+00:00,0.0,1314.0,0.0,0.0,582.0,1459.5
2022-01-01 01:00:00+00:00,0.0,1092.0,0.0,0.0,552.0,1230.0
2022-01-01 02:00:00+00:00,0.0,1372.5,412.0,0.0,237.0,1843.75
2022-01-01 03:00:00+00:00,0.0,1533.5,795.0,0.0,0.0,2328.5
2022-01-01 04:00:00+00:00,352.0,1254.25,994.0,0.0,0.0,2336.25
2022-01-01 05:00:00+00:00,696.0,1350.75,995.0,0.0,0.0,2519.75
2022-01-01 06:00:00+00:00,868.0,1547.75,995.0,0.0,0.0,2759.75
2022-01-01 07:00:00+00:00,1549.0,1334.5,995.0,0.0,0.0,2716.75
2022-01-01 08:00:00+00:00,2040.0,1297.75,995.0,0.0,0.0,2802.75
2022-01-01 09:00:00+00:00,2033.0,1097.75,995.0,0.0,0.0,2601.0
2022-01-01 10:00:00+00:00,2328.0,883.0,705.0,0.0,0.0,2170.0
2022-01-01 11:00:00+00:00,2115.0,1106.75,0.0,0.0,0.0,1635.5
2022-01-01 12:00:00+00:00,1989.0,1074.25,211.0,0.0,0.0,1782.5
2022-01-01 13:00:00+00:00,1786.0,1138.5,388.0,0.0,0.0,1973.0
2022-01-01 14:00:00+00:00,1947.0,1302.0,119.0,0.0,0.0,1907.75
2022-01-01 15:00:00+00:00,1674.0,1451.5,0.0,0.0,0.0,1870.0
2022-01-01 16:00:00+00:00,1267.0,1402.0,92.0,36.0,0.0,1819.75
2022-01-01 17:00:00+00:00,922.0,1628.25,0.0,90.0,0.0,1881.25
2022-01-01 18:00:00+00:00,935.0,1412.0,0.0,0.0,7.0,1647.5
2022-01-01 19:00:00+00:00,895.0,1391.0,0.0,0.0,481.0,1735.0
2022-01-01 20:00:00+00:00,938.0,1419.75,0.0,0.0,545.0,1790.5
2022-01-01 21:00:00+00:00,663.0,1357.5,0.0,0.0,696.0,1697.25
2022-01-01 22:00:00+00:00,292.0,1291.5,42.0,0.0,694.0,1580.0
2022-01-01 23:00:00+00:00,10.0,1535.75,598.25,0.0,444.0,2247.5
2022-01-02 00:00:00+00:00,0.0,1632.75,194.0,0.0,423.0,1932.5
2022-01-02 01:00:00+00:00,14.0,1595.75,0.0,0.0,219.0,1654.0
2022-01-02 02:00:00+00:00,20.0,1671.75,410.75,0.0,0.0,2087.5
2022-01-02 03:00:00+00:00,428.0,1540.5,522.25,0.0,0.0,2169.75
2022-01-02 04:00:00+00:00,705.0,1514.25,655.75,0.0,0.0,2346.25
2022-01-02 05:00:00+00:00,703.0,1468.75,1021.75,0.0,0.0,2666.25
2022-01-02 06:00:00+00:00,698.0,1533.25,815.25,0.0,0.0,2523.0
2022-01-02 07:00:00+00:00,898.0,1415.0,539.25,0.0,0.0,2178.75
2022-01-02 08:00:00+00:00,846.0,1265.5,438.5,0.0,0.0,1915.5
2022-01-02 09:00:00+00:00,1287.0,1458.25,0.0,0.0,0.0,1780.0
2022-01-02 10:00:00+00:00,1357.0,1550.25,0.0,0.0,0.0,1889.5
2022-01-02 11:00:00+00:00,1046.0,1526.5,0.0,0.0,0.0,1788.0
2022-01-02 12:00:00+00:00,1182.0,1584.5,0.0,0.0,0.0,1880.0
2022-01-02 13:00:00+00:00,1380.0,1387.0,0.0,0.0,125.0,1763.25
2022-01-02 14:00:00+00:00,2030.0,1531.5,0.0,0.0,3.0,2039.75
2022-01-02 15:00:00+00:00,2278.0,1575.0,0.0,0.0,13.0,2147.75
2022-01-02 16:00:00+00:00,2217.0,1590.25,0.0,0.0,557.0,2283.75
2022-01-02 17:00:00+00:00,1462.0,1550.25,0.0,0.0,632.0,2073.75
2022-01-02 18:00:00+00:00,1250.0,1469.75,0.0,0.0,698.0,1956.75
2022-01-02 19:00:00+00:00,1354.0,1362.75,0.0,0.0,696.0,1875.25
2022-01-02 20:00:00+00:00,1516.0,1227.25,0.0,0.0,543.0,1742.0
2022-01-02 21:00:00+00:00,1364.0,1115.75,40.5,0.0,70.0,1514.75
2022-01-02 22:00:00+00:00,530.0,1209.5,600.5,0.0,0.0,1942.5
2022-01-02 23:00:00+00:00,213.0,1410.25,,0.0,0.0,1463.5
2022-01-03 00:00:00+00:00,346.0,1385.0,,0.0,0.0,1471.5
2022-01-03 01:00:00+00:00,773.0,1325.25,,0.0,0.0,1518.5
2022-01-03 02:00:00+00:00,696.0,1335.75,,0.0,0.0,1509.75
2022-01-03 03:00:00+00:00,583.0,1435.5,,0.0,0.0,1581.25
2022-01-03 04:00:00+00:00,271.0,1721.25,,0.0,0.0,1789.0
2022-01-03 05:00:00+00:00,915.0,1427.5,,0.0,0.0,1656.25
2022-01-03 06:00:00+00:00,884.0,1471.25,,0.0,0.0,1692.25
2022-01-03 07:00:00+00:00,0.0,1637.5,,0.0,3.0,1638.25
2022-01-03 08:00:00+00:00,0.0,1855.5,,157.0,368.0,1986.75
2022-01-03 09:00:00+00:00,315.0,882.5,,0.0,472.0,1079.25
2022-01-03 10:00:00+00:00,302.0,1032.0,90.25,0.0,489.0,1320.0
2022-01-03 11:00:00+00:00,25.0,855.0,0.0,364.0,490.0,1074.75
2022-01-03 12:00:00+00:00,59.0,867.0,0.0,279.0,490.0,1074.0
2022-01-03 13:00:00+00:00,52.0,884.5,0.0,312.0,490.0,1098.0
2022-01-03 14:00:00+00:00,302.0,761.75,0.0,479.0,490.0,1079.5
2022-01-03 15:00:00+00:00,397.0,995.5,0.0,183.0,490.0,1263.0
