,AT,HR,RO,RS,SK,SI,UA,sum
2023-01-01 00:00:00+00:00,272.5,0.0,0.0,0.0,2845.0,0.0,456.0,1097.75
2023-01-01 01:00:00+00:00,236.75,0.0,0.0,0.0,2761.0,0.0,439.0,1036.75
2023-01-01 02:00:00+00:00,222.5,0.0,0.0,0.0,2723.0,0.0,398.0,1002.75
2023-01-01 03:00:00+00:00,66.5,0.0,0.0,0.0,2521.0,0.0,385.0,793.0
2023-01-01 04:00:00+00:00,10.25,0.0,0.0,0.0,2585.0,0.0,351.0,744.25
2023-01-01 05:00:00+00:00,55.75,0.0,0.0,0.0,2637.0,0.0,341.0,800.25
2023-01-01 06:00:00+00:00,2.25,0.0,0.0,0.0,2598.0,0.0,236.0,710.75
2023-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,2186.0,0.0,297.0,620.75
2023-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,2035.0,0.0,256.0,572.75
2023-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,2070.0,0.0,282.0,588.0
2023-01-01 10:00:00+00:00,0.0,0.0,0.25,0.0,1988.0,0.0,318.0,576.75
2023-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,1980.0,0.0,303.0,570.75
2023-01-01 12:00:00+00:00,16.25,0.0,0.0,0.0,1972.0,0.0,226.0,565.75
2023-01-01 13:00:00+00:00,224.75,0.0,0.0,0.0,2241.0,0.0,218.0,839.5
2023-01-01 14:00:00+00:00,390.5,0.0,0.0,0.0,2438.0,0.0,144.0,1036.0
2023-01-01 15:00:00+00:00,528.25,0.0,0.0,0.0,2618.0,0.0,186.0,1229.25
2023-01-01 16:00:00+00:00,563.5,0.0,0.0,0.0,2542.0,0.75,193.0,1248.0
2023-01-01 17:00:00+00:00,507.25,0.0,0.0,0.0,2476.0,0.0,212.0,1179.25
2023-01-01 18:00:00+00:00,607.5,0.0,0.0,0.0,2500.0,3.0,226.0,1292.0
2023-01-01 19:00:00+00:00,584.0,0.0,0.0,0.0,2390.0,0.0,293.0,1254.75
2023-01-01 20:00:00+00:00,473.5,0.0,0.0,0.0,2259.0,0.0,324.0,1119.25
2023-01-01 21:00:00+00:00,299.0,0.0,0.0,0.0,2097.0,0.0,377.0,917.5
2023-01-01 22:00:00+00:00,368.0,0.0,0.0,0.0,2021.0,0.0,394.0,971.75
2023-01-01 23:00:00+00:00,231.0,0.0,0.0,0.0,2240.0,0.0,391.0,888.75
2023-01-02 00:00:00+00:00,87.25,0.0,0.0,0.0,2074.0,0.0,461.0,721.0
2023-01-02 01:00:00+00:00,1.75,0.0,0.0,0.0,1879.0,0.0,498.0,596.0
2023-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,1849.0,0.0,432.0,570.25
2023-01-02 03:00:00+00:00,47.75,0.0,0.0,0.0,1881.0,0.0,281.0,588.25
2023-01-02 04:00:00+00:00,66.25,0.0,0.0,0.0,2089.0,0.0,348.0,675.5
2023-01-02 05:00:00+00:00,98.5,0.0,0.0,0.0,2029.0,0.0,500.0,730.75
2023-01-02 06:00:00+00:00,152.0,0.0,1.25,0.0,1929.0,0.0,475.0,754.25
2023-01-02 07:00:00+00:00,156.25,0.0,26.75,0.0,1945.0,0.0,454.0,782.75
2023-01-02 08:00:00+00:00,156.5,0.0,68.0,0.0,1725.0,0.0,494.0,779.25
2023-01-02 09:00:00+00:00,73.75,0.0,58.75,0.0,1573.0,0.0,439.0,635.5
2023-01-02 10:00:00+00:00,112.5,0.0,94.25,0.0,1412.0,0.0,437.0,669.0
2023-01-02 11:00:00+00:00,219.25,0.0,6.0,0.0,1553.0,0.0,374.0,707.0
2023-01-02 12:00:00+00:00,263.25,0.0,2.75,0.0,1480.0,0.0,320.0,716.0
2023-01-02 13:00:00+00:00,366.5,0.0,0.0,0.0,1849.0,0.0,311.0,906.5
2023-01-02 14:00:00+00:00,459.25,0.0,0.0,0.0,2127.0,0.0,329.0,1073.25
2023-01-02 15:00:00+00:00,392.0,0.0,0.0,0.0,2459.0,0.0,388.0,1103.75
2023-01-02 16:00:00+00:00,474.25,0.0,0.0,0.0,2552.0,0.0,431.0,1220.0
2023-01-02 17:00:00+00:00,443.75,0.0,0.0,0.0,2477.0,0.0,425.0,1169.25
2023-01-02 18:00:00+00:00,532.0,0.0,0.0,0.0,2266.0,0.0,421.0,1203.75
2023-01-02 19:00:00+00:00,487.25,0.0,0.0,0.0,2193.0,0.0,458.0,1150.0
2023-01-02 20:00:00+00:00,421.75,0.0,0.0,0.0,2436.0,0.0,495.0,1154.5
2023-01-02 21:00:00+00:00,441.25,0.0,0.0,0.0,2630.0,0.0,411.0,1201.5
2023-01-02 22:00:00+00:00,278.75,0.0,0.0,0.0,2713.0,0.0,476.0,1076.0
2023-01-02 23:00:00+00:00,63.5,0.0,0.0,0.0,2692.0,0.0,405.0,837.75
2023-01-03 00:00:00+00:00,9.25,0.0,0.0,0.0,2457.0,0.0,393.0,721.75
2023-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,2149.0,0.0,354.0,625.75
2023-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,2078.0,0.0,311.0,597.25
2023-01-03 03:00:00+00:00,20.75,0.0,0.0,0.0,2246.0,0.0,281.0,652.5
