,AL,BG,TR,IT,MK,sum
2022-01-01 00:00:00+00:00,1.0,388.0,468.0,444.0,117.0,1418.0
2022-01-01 01:00:00+00:00,11.0,384.0,442.0,482.0,146.0,1465.0
2022-01-01 02:00:00+00:00,65.0,417.0,443.0,412.0,249.0,1586.0
2022-01-01 03:00:00+00:00,72.0,412.0,421.0,365.0,285.0,1555.0
2022-01-01 04:00:00+00:00,35.0,407.0,508.0,459.0,252.0,1661.0
2022-01-01 05:00:00+00:00,2.0,408.0,402.0,266.0,231.0,1309.0
2022-01-01 06:00:00+00:00,13.0,399.0,350.0,0.0,239.0,1001.0
2022-01-01 07:00:00+00:00,0.0,379.0,342.0,0.0,158.0,879.0
2022-01-01 08:00:00+00:00,0.0,387.0,361.0,0.0,121.0,869.0
2022-01-01 09:00:00+00:00,3.0,436.0,491.0,0.0,154.0,1084.0
2022-01-01 10:00:00+00:00,1.0,432.0,500.0,0.0,153.0,1086.0
2022-01-01 11:00:00+00:00,5.0,433.0,457.0,0.0,171.0,1066.0
2022-01-01 12:00:00+00:00,2.0,389.0,385.0,0.0,125.0,901.0
2022-01-01 13:00:00+00:00,19.0,399.0,441.0,0.0,172.0,1031.0
2022-01-01 14:00:00+00:00,34.0,404.0,492.0,46.0,187.0,1163.0
2022-01-01 15:00:00+00:00,18.0,421.0,522.0,45.0,144.0,1150.0
2022-01-01 16:00:00+00:00,2.0,426.0,577.0,293.0,106.0,1404.0
2022-01-01 17:00:00+00:00,0.0,431.0,570.0,160.0,110.0,1271.0
2022-01-01 18:00:00+00:00,3.0,436.0,558.0,52.0,150.0,1199.0
2022-01-01 19:00:00+00:00,1.0,427.0,577.0,0.0,139.0,1144.0
2022-01-01 20:00:00+00:00,0.0,374.0,510.0,0.0,93.0,977.0
2022-01-01 21:00:00+00:00,0.0,403.0,533.0,0.0,96.0,1032.0
2022-01-01 22:00:00+00:00,0.0,419.0,473.0,0.0,137.0,1029.0
2022-01-01 23:00:00+00:00,0.0,461.0,527.0,0.0,199.0,1187.0
2022-01-02 00:00:00+00:00,0.0,475.0,435.0,0.0,247.0,1157.0
2022-01-02 01:00:00+00:00,0.0,434.0,391.0,0.0,206.0,1031.0
2022-01-02 02:00:00+00:00,0.0,402.0,267.0,0.0,206.0,875.0
2022-01-02 03:00:00+00:00,0.0,353.0,187.0,0.0,87.0,627.0
2022-01-02 04:00:00+00:00,0.0,289.0,208.0,0.0,0.0,497.0
2022-01-02 05:00:00+00:00,0.0,268.0,200.0,0.0,0.0,468.0
2022-01-02 06:00:00+00:00,0.0,265.0,162.0,0.0,0.0,427.0
2022-01-02 07:00:00+00:00,0.0,259.0,131.0,0.0,0.0,390.0
2022-01-02 08:00:00+00:00,0.0,242.0,122.0,0.0,0.0,364.0
2022-01-02 09:00:00+00:00,0.0,252.0,244.0,0.0,0.0,496.0
2022-01-02 10:00:00+00:00,0.0,220.0,236.0,0.0,0.0,456.0
2022-01-02 11:00:00+00:00,0.0,225.0,259.0,0.0,0.0,484.0
2022-01-02 12:00:00+00:00,0.0,210.0,214.0,0.0,9.0,433.0
2022-01-02 13:00:00+00:00,0.0,287.0,378.0,0.0,144.0,809.0
2022-01-02 14:00:00+00:00,6.0,319.0,433.0,0.0,205.0,963.0
2022-01-02 15:00:00+00:00,48.0,308.0,412.0,0.0,152.0,920.0
2022-01-02 16:00:00+00:00,6.0,308.0,423.0,0.0,74.0,811.0
2022-01-02 17:00:00+00:00,33.0,352.0,467.0,13.0,146.0,1011.0
2022-01-02 18:00:00+00:00,62.0,389.0,490.0,0.0,209.0,1150.0
2022-01-02 19:00:00+00:00,29.0,398.0,531.0,42.0,209.0,1209.0
2022-01-02 20:00:00+00:00,91.0,418.0,480.0,0.0,293.0,1282.0
2022-01-02 21:00:00+00:00,62.0,445.0,455.0,0.0,299.0,1261.0
2022-01-02 22:00:00+00:00,4.0,442.0,397.0,239.0,233.0,1315.0
2022-01-02 23:00:00+00:00,0.0,459.0,334.0,491.0,203.0,1487.0
2022-01-03 00:00:00+00:00,2.0,449.0,360.0,491.0,236.0,1538.0
2022-01-03 01:00:00+00:00,48.0,455.0,344.0,488.0,316.0,1651.0
2022-01-03 02:00:00+00:00,33.0,456.0,355.0,447.0,312.0,1603.0
2022-01-03 03:00:00+00:00,40.0,439.0,357.0,485.0,310.0,1631.0
2022-01-03 04:00:00+00:00,21.0,438.0,357.0,187.0,286.0,1289.0
2022-01-03 05:00:00+00:00,4.0,409.0,424.0,429.0,227.0,1493.0
2022-01-03 06:00:00+00:00,0.0,376.0,571.0,112.0,171.0,1230.0
2022-01-03 07:00:00+00:00,0.0,366.0,639.0,0.0,118.0,1123.0
2022-01-03 08:00:00+00:00,0.0,322.0,590.0,0.0,17.0,929.0
2022-01-03 09:00:00+00:00,0.0,301.0,562.0,0.0,6.0,869.0
2022-01-03 10:00:00+00:00,0.0,314.0,568.0,0.0,6.0,888.0
2022-01-03 11:00:00+00:00,0.0,315.0,581.0,0.0,12.0,908.0
2022-01-03 12:00:00+00:00,0.0,322.0,562.0,0.0,23.0,907.0
2022-01-03 13:00:00+00:00,0.0,314.0,534.0,0.0,68.0,916.0
2022-01-03 14:00:00+00:00,0.0,314.0,608.0,0.0,50.0,972.0
2022-01-03 15:00:00+00:00,0.0,334.0,636.0,0.0,24.0,994.0
2022-01-03 16:00:00+00:00,0.0,364.0,595.0,0.0,41.0,1000.0
2022-01-03 17:00:00+00:00,0.0,358.0,617.0,0.0,41.0,1016.0
2022-01-03 18:00:00+00:00,0.0,362.0,608.0,0.0,67.0,1037.0
2022-01-03 19:00:00+00:00,0.0,399.0,637.0,0.0,121.0,1157.0
