,BY,LV,PL,SE,sum
2024-01-01 00:00:00+00:00,68.0,0.0,492.0,534.0,1094.0
2024-01-01 01:00:00+00:00,72.0,0.0,492.0,420.0,984.0
2024-01-01 02:00:00+00:00,0.0,0.0,492.0,690.0,1182.0
2024-01-01 03:00:00+00:00,20.0,0.0,492.0,696.0,1208.0
2024-01-01 04:00:00+00:00,47.0,0.0,492.0,686.0,1225.0
2024-01-01 05:00:00+00:00,27.0,0.0,492.0,701.0,1220.0
2024-01-01 06:00:00+00:00,0.0,0.0,492.0,672.0,1164.0
2024-01-01 07:00:00+00:00,0.0,0.0,492.0,658.0,1150.0
2024-01-01 08:00:00+00:00,0.0,0.0,492.0,720.0,1212.0
2024-01-01 09:00:00+00:00,0.0,0.0,492.0,715.0,1207.0
2024-01-01 10:00:00+00:00,0.0,0.0,488.0,713.0,1201.0
2024-01-01 11:00:00+00:00,33.0,0.0,293.0,708.0,1034.0
2024-01-01 12:00:00+00:00,0.0,0.0,492.0,694.0,1186.0
2024-01-01 13:00:00+00:00,0.0,0.0,491.0,716.0,1207.0
2024-01-01 14:00:00+00:00,22.0,0.0,299.0,733.0,1054.0
2024-01-01 15:00:00+00:00,63.0,0.0,208.0,679.0,950.0
2024-01-01 16:00:00+00:00,86.0,0.0,114.0,680.0,880.0
2024-01-01 17:00:00+00:00,47.0,0.0,207.0,733.0,987.0
2024-01-01 18:00:00+00:00,0.0,0.0,439.0,733.0,1172.0
2024-01-01 19:00:00+00:00,0.0,0.0,474.0,733.0,1207.0
2024-01-01 20:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-01 21:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-01 22:00:00+00:00,0.0,0.0,492.0,732.0,1224.0
2024-01-01 23:00:00+00:00,0.0,0.0,492.0,704.0,1196.0
2024-01-02 00:00:00+00:00,0.0,0.0,492.0,722.0,1214.0
2024-01-02 01:00:00+00:00,0.0,0.0,492.0,721.0,1213.0
2024-01-02 02:00:00+00:00,0.0,0.0,492.0,722.0,1214.0
2024-01-02 03:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 04:00:00+00:00,14.0,0.0,492.0,733.0,1239.0
2024-01-02 05:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 06:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 07:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 08:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 09:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 10:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 11:00:00+00:00,0.0,0.0,482.0,733.0,1215.0
2024-01-02 12:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 13:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 14:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 15:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 16:00:00+00:00,0.0,0.0,461.0,733.0,1194.0
2024-01-02 17:00:00+00:00,0.0,0.0,343.0,733.0,1076.0
2024-01-02 18:00:00+00:00,0.0,0.0,435.0,733.0,1168.0
2024-01-02 19:00:00+00:00,28.0,0.0,492.0,733.0,1253.0
2024-01-02 20:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-02 21:00:00+00:00,0.0,0.0,482.0,733.0,1215.0
2024-01-02 22:00:00+00:00,58.0,0.0,492.0,733.0,1283.0
2024-01-02 23:00:00+00:00,99.0,0.0,492.0,733.0,1324.0
2024-01-03 00:00:00+00:00,42.0,0.0,492.0,733.0,1267.0
2024-01-03 01:00:00+00:00,44.0,0.0,492.0,733.0,1269.0
2024-01-03 02:00:00+00:00,53.0,0.0,492.0,733.0,1278.0
2024-01-03 03:00:00+00:00,57.0,0.0,492.0,733.0,1282.0
2024-01-03 04:00:00+00:00,0.0,0.0,492.0,733.0,1225.0
2024-01-03 05:00:00+00:00,28.0,0.0,492.0,733.0,1253.0
