,AT,HR,RO,RS,SK,SI,UA,sum
2024-01-01 00:00:00+00:00,705.75,0.0,0.0,0.0,2477.0,0.0,156.0,1364.0
2024-01-01 01:00:00+00:00,747.75,0.0,0.0,0.0,2142.0,0.0,159.0,1323.0
2024-01-01 02:00:00+00:00,844.5,0.0,0.0,0.0,1841.0,0.0,147.0,1341.5
2024-01-01 03:00:00+00:00,725.25,0.0,0.0,0.0,1613.0,0.0,150.0,1166.0
2024-01-01 04:00:00+00:00,492.75,0.0,0.0,0.0,1653.0,0.0,141.0,941.25
2024-01-01 05:00:00+00:00,404.5,0.0,0.0,0.0,1929.0,0.0,108.0,913.75
2024-01-01 06:00:00+00:00,594.75,0.0,0.0,0.0,1869.0,0.0,28.0,1069.0
2024-01-01 07:00:00+00:00,613.5,0.0,0.0,0.0,1916.0,0.0,69.0,1109.75
2024-01-01 08:00:00+00:00,594.5,0.0,0.0,0.0,1633.0,0.0,92.0,1025.75
2024-01-01 09:00:00+00:00,706.5,0.0,0.0,0.0,1672.0,0.0,34.0,1133.0
2024-01-01 10:00:00+00:00,812.0,0.0,0.0,0.0,1392.0,0.0,36.0,1169.0
2024-01-01 11:00:00+00:00,778.5,0.0,0.0,0.0,1250.0,0.0,2.0,1091.5
2024-01-01 12:00:00+00:00,866.25,0.0,0.0,0.0,1101.0,0.0,0.0,1141.5
2024-01-01 13:00:00+00:00,1081.75,0.0,0.0,0.0,1410.0,0.0,0.0,1434.25
2024-01-01 14:00:00+00:00,899.0,0.0,0.0,0.0,1772.0,2.5,0.0,1344.5
2024-01-01 15:00:00+00:00,993.75,0.0,0.0,0.0,1925.0,97.25,0.0,1572.25
2024-01-01 16:00:00+00:00,941.75,0.0,0.0,0.0,1982.0,100.0,1.0,1537.5
2024-01-01 17:00:00+00:00,982.25,0.0,0.0,0.0,1937.0,92.5,4.0,1560.0
2024-01-01 18:00:00+00:00,982.0,0.0,0.0,0.0,1895.0,56.0,43.0,1522.5
2024-01-01 19:00:00+00:00,1023.0,0.0,0.0,0.0,1890.0,1.25,123.0,1527.5
2024-01-01 20:00:00+00:00,928.0,0.0,0.0,0.0,1796.0,0.0,224.0,1433.0
2024-01-01 21:00:00+00:00,791.25,0.0,0.0,0.0,1811.0,0.0,224.0,1300.0
2024-01-01 22:00:00+00:00,633.5,0.0,0.0,0.0,1684.0,0.0,261.0,1119.75
2024-01-01 23:00:00+00:00,508.0,0.0,18.75,0.0,1479.0,0.0,322.0,977.0
2024-01-02 00:00:00+00:00,408.5,0.0,17.25,0.0,1397.0,0.0,338.0,859.5
2024-01-02 01:00:00+00:00,347.5,0.0,11.5,0.0,1425.0,0.0,240.0,775.25
2024-01-02 02:00:00+00:00,293.5,0.0,0.25,0.0,1456.0,0.0,173.0,701.0
2024-01-02 03:00:00+00:00,433.5,0.0,0.0,0.0,1817.0,0.0,122.0,918.25
2024-01-02 04:00:00+00:00,466.0,0.0,0.0,0.0,2088.0,0.0,76.0,1007.0
2024-01-02 05:00:00+00:00,532.5,0.0,0.0,0.0,1969.0,0.5,114.0,1053.75
2024-01-02 06:00:00+00:00,706.75,0.0,0.0,0.0,2008.0,79.0,55.0,1301.5
2024-01-02 07:00:00+00:00,737.0,0.0,0.0,4.0,1736.0,102.75,2.0,1275.25
2024-01-02 08:00:00+00:00,644.5,0.0,0.0,1.0,1269.0,45.5,0.0,1007.5
